surface_composition,facet,adsorbate,reaction_energy_eV
PdN4C26-Δz=relaxed-M,001,OOH*,4.399006789999987
NiN4C26-Δz=0.4Å-M,001,OOH*,3.3178788599999507
MnN4C26-Δz=0.2Å-M,001,OOH*,3.0230406000000585
MnN4C26-Δz=1.0Å-M,001,OOH*,3.0209005500000217
HEO-3-Mn3.0Zn2.0Cr3.0Fe2.0Co3.0Ni3.0,100,OOH*,3.3508797300000026
MnN4C26-Δz=relaxed-M,001,OOH*,3.0473122099999728
HEO-18-Fe3.0Zn2.0Cr3.0Mn2.0Co3.0Ni3.0,100,OOH*,4.471570060000005
HEO-19-Co3.0Zn2.0Cr3.0Mn3.0Fe3.0Ni2.0-Ni-site,100,OOH*,4.6231131700000105
HEO-19-Co3.0Zn2.0Cr3.0Mn3.0Fe3.0Ni2.0-Fe-site,100,OOH*,4.519260620000011
HEO-5-Fe3.0Zn2.0Cr3.0Mn3.0Co3.0Ni2.0,100,OOH*,3.8364722700000016
HEO-19-Co3.0Zn2.0Cr3.0Mn3.0Fe3.0Ni2.0-Mn-site,100,OOH*,4.165794450000021
HEO-8-Fe3.0Zn2.0Cr3.0Mn3.0Co2.0Ni3.0,100,OOH*,3.915553850000009
HEO-19-Co3.0Zn2.0Cr3.0Mn3.0Fe3.0Ni2.0-Co-site,100,OOH*,3.0792219399999965
HEO-44-Fe3.0Ni3.0Cr3.0Mn3.0Co2.0Zn2.0,100,OOH*,5.050162140000026
HEO-19-Co3.0Zn2.0Cr3.0Mn3.0Fe3.0Ni2.0-Cr-site,100,OOH*,4.001428870000012
HEO-43-Ni3.0Zn2.0Cr3.0Mn3.0Fe3.0Co2.0,100,OOH*,4.389600570000027
HEO-7-Ni3.0Zn2.0Cr3.0Mn3.0Fe2.0Co3.0,100,OOH*,3.6784196199999997
ReRuO2-alloy,110,OOH*,3.4979529700000285
RuO2,110,OOH*,3.523132540000006
ReRuO2-brg,110,OOH*,3.4054940799999827
RuO2-lattice+1%,110,OOH*,3.600476879999974
RuO2-lattice+2%,110,OOH*,3.640509409999993
PdO2,110,OOH*,3.77576461000001
IrPtO4-alloy-Ptsite,110,OOH*,3.5884152099999937
IrO2,110,OOH*,2.8770073599999932
OsO2,110,OOH*,2.7704707299999995
IrO2-Osdoped-surf,110,OOH*,2.3722653799999875
IrO2-Pddoped-subsurf,110,OOH*,3.05945590999994
IrPtO4-alloy-Irsite,110,OOH*,2.9234140699999784
IrO2-Pddoped-surf,110,OOH*,1.0626732700000048
IrO2-Osdoped-subsurf,110,OOH*,3.028956819999962
IrOsO4-alloy-Irsite,110,OOH*,3.0599052900000174
PtO2,110,OOH*,3.542628769999965
IrO2-Ptdoped-surf,110,OOH*,2.862021449999986
IrPdO4-alloy-Irsite,110,OOH*,3.3347766900000124
Ir5Pt3O16-alloy-Ptsite,110,OOH*,3.8920473499999844
Ir5Pt3O16-alloy-Irsite,110,OOH*,2.271299269999929
IrO2-Ptdoped-subsurf,110,OOH*,2.913339160000021
CuC39N15H21,active_site,OOH*,3.0686730699999316
CuC48N24H24,active_site,OOH*,3.1510608650000904
CuC39N15H21,active_site,OOH*,3.7307238150001467
CuC48N24H24,active_site,OOH*,2.3274844600000506
Al3Ir,111,OH*,-0.67385
Au3Hf,111,OH*,-1.81385
W15ZrO47,1,OH*,2.24930634
FeW15HO48,1,OH*,2.12481465
HfW15O47,1,OH*,1.29929107
Co3V,111,OH*,-0.55385
Rh3Sc,111,OH*,-0.63385
Cd3Y,111,OH*,-1.53385
