material,bandgap_eV,bandgap_known,sacrificial_agent,scavenger_strength,has_cocatalyst,wavelength_nm,light_power_W,irradiation_time_h,activity_value,logH2,source_paper
Co2P/g-C3N4,2.7,False,Na2S/Na2SO3,3,True,400.0,300.0,8.0,3156.0,3.4991369945373827,j.jallcom.2019.06.252
Ni2P/g-C3N4,2.7,False,Na2S/Na2SO3,3,True,400.0,300.0,8.0,2941.0,3.468495024507069,j.jallcom.2019.06.252
Pt/g-C3N4,2.7,False,Na2S/Na2SO3,3,True,400.0,300.0,8.0,3412.0,3.5330090224954853,j.jallcom.2019.06.252
g-C3N4,2.7,True,Na2S/Na2SO3,3,True,400.0,300.0,8.0,134.0,2.1271047983648077,j.jallcom.2019.06.252
NiCoP/g-C3N4,2.7,False,Na2S/Na2SO3,3,True,400.0,300.0,8.0,934.0,2.9703468762300935,j.jallcom.2019.06.252
NiCoP,2.7,False,Na2S/Na2SO3,3,True,400.0,300.0,8.0,3243.0,3.5109469486729727,j.jallcom.2019.06.252
Ni2P,2.7,False,Na2S/Na2SO3,3,True,400.0,300.0,8.0,1057.0,3.024074987307426,j.jallcom.2019.06.252
TiO2,3.2,True,other,1,False,420.0,300.0,8.0,148.0,2.1702617153949575,j.materresbull.2016.04.018
TiOF2,2.7,False,other,1,False,420.0,300.0,8.0,78.0,1.8920946026904804,j.materresbull.2016.04.018
TiOF2,2.7,False,other,1,False,420.0,300.0,8.0,213.0,2.3283796034387376,j.materresbull.2016.04.018
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,8.0,24.09,1.3818367999983434,j.apcatb.2018.02.006
ZnS,3.6,True,none/unspecified,0,False,420.0,300.0,8.0,93.81,1.9722491359625958,j.apcatb.2018.02.006
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,8.0,713.68,2.8535035263613246,j.apcatb.2018.02.006
CZV10,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,129.33,2.1116992775735506,j.apcatb.2018.02.006
CZV10,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,369.12,2.567167577177018,j.apcatb.2018.02.006
CZV10,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,226.9,2.355834495884936,j.apcatb.2018.02.006
CN/TCT,2.7,False,none/unspecified,0,True,420.0,300.0,24.0,73.31,1.8651632195060863,j.apcatb.2020.119777
CdS,2.4,True,none/unspecified,0,True,420.0,300.0,3.0,16700.0,4.222716471147583,j.apcatb.2018.05.009
CdS,2.4,True,none/unspecified,0,True,420.0,300.0,21.0,120100.0,5.079543007402906,j.apcatb.2018.05.009
Manganese sulfide,2.7,False,none/unspecified,0,True,420.0,300.0,5.0,28.4,1.4533183400470377,j.apsusc.2019.07.219
STO,2.7,False,methanol,2,True,420.0,100.0,8.0,141.0,2.1492191126553797,j.apsusc.2017.05.074
STO,2.7,False,methanol,2,True,420.0,100.0,8.0,135.0,2.130333768495006,j.apsusc.2017.05.074
Pt/STO,2.7,False,methanol,2,True,420.0,100.0,8.0,1140.0,3.0569048513364727,j.apsusc.2017.05.074
g-C3N4-U,2.7,False,none/unspecified,0,False,420.0,300.0,1.5,86.0,1.9344984512435677,j.apcatb.2016.11.022
xenon,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,1920.0,3.2833012287035497,j.electacta.2018.05.051
ZnO,3.3,True,none/unspecified,0,True,420.0,300.0,8.0,1970.0,3.294466226161593,j.electacta.2018.05.051
g-C3N4,2.7,True,TEOA,3,True,420.0,300.0,8.0,793.0,2.8992731873176036,j.apcatb.2016.09.075
g-C3N4,2.7,True,TEOA,3,True,780.0,300.0,48.0,127.1,2.104145550554008,j.apcatb.2019.118137
Ce6,2.7,False,TEOA,3,True,780.0,300.0,48.0,32.4,1.510545010206612,j.apcatb.2019.118137
Ce6,2.7,False,TEOA,3,True,780.0,300.0,0.5,55.9,1.7474118078864234,j.apcatb.2019.118137
Ce6,2.7,False,TEOA,3,True,780.0,300.0,0.5,2.4,0.38021124171160603,j.apcatb.2019.118137
Ce6,2.7,False,Na2S/Na2SO3,3,False,420.0,300.0,4.0,1.8,0.25527250510330607,j.apcatb.2019.118137
N719,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,195.0,2.290034611362518,j.ijhydene.2011.07.093
N719,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,242.0,2.383815365980431,j.ijhydene.2011.07.093
N719,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,103.0,2.012837224705172,j.ijhydene.2011.07.093
N719,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,250.0,2.3979400086720375,j.ijhydene.2011.07.093
NiS2,2.7,False,Na2S/Na2SO3,3,False,400.0,300.0,8.0,784.0,2.8943160626844384,j.ijhydene.2019.05.120
CdS,2.4,True,Na2S/Na2SO3,3,True,400.0,300.0,8.0,12770.0,4.106190897263415,j.ijhydene.2019.05.120
g-C3N4,2.7,True,none/unspecified,0,False,400.0,150.0,3.0,350.0,2.5440680443502757,j.apsusc.2018.06.137
H-CdS,2.7,False,none/unspecified,0,False,400.0,150.0,3.0,4390.0,3.6424645202421213,j.apsusc.2018.06.137
CdS,2.4,True,none/unspecified,0,False,400.0,150.0,3.0,1510.0,3.1789769472931693,j.apsusc.2018.06.137
g-C3N4,2.7,True,other,1,False,420.0,300.0,8.0,894.9,2.951774508081725,j.apsusc.2020.148308
TAC,2.7,False,none/unspecified,0,False,520.0,300.0,8.0,3500.0,3.5440680443502757,j.nanoen.2018.02.052
Cu2O/C3N4,2.7,False,TEOA,3,True,420.0,450.0,120.0,622.0,2.7937903846908188,j.solmat.2020.110772
Cu2O,2.0,True,TEOA,3,True,420.0,450.0,120.0,54.0,1.7323937598229686,j.solmat.2020.110772
g-C3N4,2.7,True,TEOA,3,True,420.0,300.0,8.0,4960.0,3.6954816764901977,j.mtener.2017.05.006
g-C3N4,2.7,True,TEOA,3,True,420.0,300.0,8.0,900.0,2.9542425094393248,j.mtener.2017.05.006
Zn2GeO4,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,15000.0,4.176091259055681,j.jallcom.2020.154391
TCN,2.7,False,other,1,False,400.0,300.0,0.0,235.68,2.372322729498556,j.cej.2020.126185
TCN,2.7,False,TEOA,3,True,367.5,300.0,6.0,52.49,1.7200765727681406,j.cej.2020.126185
g-C3N4,2.7,True,TEOA,3,True,367.5,300.0,6.0,34.81,1.5417040232842885,j.cej.2020.126185
TNT-0S(5),2.7,False,none/unspecified,0,False,420.0,300.0,8.0,82.0,1.9138138523837167,j.solener.2016.04.007
TNT-0S,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,110.0,2.041392685158225,j.solener.2016.04.007
TNT-3.6S(5),2.7,False,none/unspecified,0,False,420.0,300.0,8.0,3513.0,3.5456781497920256,j.solener.2016.04.007
KTaO3,3.6,True,none/unspecified,0,False,240.0,300.0,8.0,3.6,0.5563025007672873,j.jphotochem.2004.03.030
KTaO3,3.6,True,none/unspecified,0,False,240.0,300.0,8.0,2.0,0.3010299956639812,j.jphotochem.2004.03.030
K2Ta2O6,2.7,False,none/unspecified,0,False,240.0,300.0,8.0,33.1,1.5198279937757189,j.jphotochem.2004.03.030
g-C3N4,2.7,True,TEOA,3,True,420.0,300.0,8.0,76.55,1.8839451950342798,j.ijhydene.2020.10.233
g-C3N4,2.7,True,TEOA,3,True,420.0,300.0,8.0,423.82,2.6271814471475268,j.ijhydene.2020.10.233
g-C3N4,2.7,True,TEOA,3,True,420.0,300.0,8.0,1146.8,3.0594876842744467,j.ijhydene.2020.10.233
g-C3N4,2.7,True,TEOA,3,True,420.0,300.0,8.0,389.86,2.5909086784543978,j.ijhydene.2020.10.233
CdS,2.4,True,none/unspecified,0,True,420.0,300.0,8.0,18960.0,4.277838333002047,j.cej.2020.124496
CdS,2.4,True,none/unspecified,0,True,420.0,300.0,8.0,5820.0,3.7649229846498886,j.cej.2020.124496
Pt-HPT-300,2.7,False,methanol,2,False,420.0,150.0,2.0,154.6,2.189209489582306,j.apsusc.2015.05.102
Pt-NHPT-300,2.7,False,methanol,2,False,420.0,150.0,2.0,205.8,2.313445370426414,j.apsusc.2015.05.102
Pt-NHPT-800,2.7,False,methanol,2,False,420.0,150.0,2.0,87.3,1.9410142437055697,j.apsusc.2015.05.102
TiO2,3.2,True,none/unspecified,0,False,420.0,300.0,8.0,84.2,1.9253120914996495,j.enconman.2014.03.003
TiO2,3.2,True,none/unspecified,0,False,420.0,300.0,8.0,100.1,2.000434077479319,j.enconman.2014.03.003
TiO2,3.2,True,none/unspecified,0,False,420.0,300.0,8.0,187.2,2.2723058444020863,j.enconman.2014.03.003
Zn/Cd,2.7,False,none/unspecified,0,False,374.0,300.0,8.0,1926.0,3.2846562827885157,j.jphotochem.2019.111919
Zn/Cd,2.7,False,none/unspecified,0,False,374.0,300.0,8.0,1294.0,3.1119342763326814,j.jphotochem.2019.111919
Zn/Cd,2.7,False,none/unspecified,0,False,374.0,300.0,8.0,869.0,2.9390197764486663,j.jphotochem.2019.111919
Zn/Cd,2.7,False,none/unspecified,0,False,374.0,300.0,8.0,233.0,2.367355921026019,j.jphotochem.2019.111919
Zn/Cd,2.7,False,none/unspecified,0,False,374.0,300.0,8.0,122.0,2.0863598306747484,j.jphotochem.2019.111919
Zn/Cd,2.7,False,none/unspecified,0,False,374.0,300.0,8.0,20.0,1.3010299956639813,j.jphotochem.2019.111919
Zn0.6Cd0.4S,2.7,False,none/unspecified,0,False,374.0,300.0,8.0,408.0,2.61066016308988,j.jphotochem.2019.111919
ZnxCd1-xS,2.7,False,none/unspecified,0,False,300.0,300.0,8.0,4055.0,3.6079908585471747,j.jphotochem.2019.111919
ZnxCd1-xS,2.7,False,none/unspecified,0,False,300.0,300.0,8.0,3201.0,3.5052856741441323,j.jphotochem.2019.111919
ZnxCd1-xS,2.7,False,none/unspecified,0,False,300.0,300.0,8.0,2569.0,3.4097641042663462,j.jphotochem.2019.111919
ZnxCd1-xS,2.7,False,none/unspecified,0,False,300.0,300.0,8.0,1812.0,3.2581581933407944,j.jphotochem.2019.111919
ZnxCd1-xS,2.7,False,none/unspecified,0,False,300.0,300.0,8.0,758.0,2.8796692056320534,j.jphotochem.2019.111919
ZnxCd1-xS,2.7,False,none/unspecified,0,False,300.0,300.0,8.0,98.0,1.9912260756924949,j.jphotochem.2019.111919
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,8.0,8163.0,3.9118497964994203,j.ijhydene.2019.03.242
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,8.0,1334000.0,6.12515582958053,j.ijhydene.2019.03.242
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,8.0,2105.0,3.323252100171687,j.ijhydene.2019.03.242
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,8.0,18836.0,4.274988681770685,j.ijhydene.2019.03.242
CdS,2.4,True,none/unspecified,0,True,780.0,300.0,120.0,1816.8,3.2593071212116786,j.apcata.2015.01.011
Ba1−xSrxTiO3,2.7,False,none/unspecified,0,True,780.0,300.0,120.0,388.4,2.589279221235967,j.apcata.2015.01.011
graphene/Bi(NO3)3,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,18.0,1.255272505103306,j.ijhydene.2018.03.091
Bi2WO6/graphene,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,78.0,1.8920946026904804,j.ijhydene.2018.03.091
CdSe-DETA,2.7,False,other,1,False,420.0,300.0,8.0,530.0,2.724275869600789,j.ijhydene.2020.11.122
CdSe-DETA,2.7,False,other,1,False,420.0,300.0,8.0,3710.0,3.569373909615046,j.ijhydene.2020.11.122
CdS,2.4,True,none/unspecified,0,True,450.0,300.0,97.0,1066.0,3.0277572046905536,j.matchemphys.2019.02.071
CdS,2.4,True,none/unspecified,0,True,450.0,300.0,97.0,23816.0,4.376868821638668,j.matchemphys.2019.02.071
Pd7P3/CdS,2.7,False,none/unspecified,0,True,450.0,300.0,97.0,221571.0,5.345512917770525,j.matchemphys.2019.02.071
Pd7P3/CdS,2.7,False,none/unspecified,0,True,450.0,300.0,97.0,204361.0,5.310398019149291,j.matchemphys.2019.02.071
ZIS,2.7,False,none/unspecified,0,True,420.0,300.0,20.0,495.2,2.6947806360120614,j.ijhydene.2020.03.139
Pt,0.0,True,none/unspecified,0,True,420.0,300.0,20.0,2561.1,3.4084265361413357,j.ijhydene.2020.03.139
copper,2.7,False,methanol,2,True,420.0,300.0,8.0,27200.0,4.434568904034199,j.apcatb.2017.03.007
Cu(X),2.7,False,none/unspecified,0,False,420.0,300.0,2.0,800.0,2.9030899869919438,j.apcatb.2017.03.007
nitrogen,2.7,False,none/unspecified,0,True,420.0,300.0,5.0,410.0,2.6127838567197355,j.apsusc.2019.01.085
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,8.0,1160.0,3.0644579892269186,j.apsusc.2019.01.085
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,8.0,500.0,2.6989700043360187,j.materresbull.2018.10.012
CdS,2.4,True,none/unspecified,0,True,420.0,300.0,8.0,75.0,1.8750612633917,j.apsusc.2012.07.003
CdS,2.4,True,none/unspecified,0,True,420.0,300.0,8.0,240.0,2.380211241711606,j.apsusc.2012.07.003
Cd0.4Zn0.6S,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,6.0,0.7781512503836436,j.apsusc.2012.07.003
NiS/Cd0.4Zn0.6S,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,1200.0,3.0791812460476247,j.apsusc.2012.07.003
hydrogen,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,760.0,2.8808135922807914,j.apsusc.2012.07.003
hydrogen,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,1210.0,3.0827853703164503,j.apsusc.2012.07.003
PCN,2.7,False,TEOA,3,True,420.0,300.0,8.0,91.0,1.9590413923210936,j.ijhydene.2021.02.176
P–COF-1,2.7,False,TEOA,3,True,420.0,300.0,8.0,1105.0,3.0433622780211294,j.ijhydene.2021.02.176
Au,0.0,True,methanol,2,True,420.0,300.0,8.0,4647.0,3.6671726724788685,j.cattod.2011.01.052
Nb2O5,2.7,False,methanol,2,True,360.0,400.0,3.0,328.0,2.515873843711679,j.cattod.2011.01.052
Nb2O5,2.7,False,methanol,2,True,360.0,400.0,3.0,245.0,2.3891660843645326,j.cattod.2011.01.052
NiB/ZnCdS,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,8137.1,3.9104696532429197,j.ijhydene.2020.01.029
ZnCdS,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,449.4,2.65263306808311,j.ijhydene.2020.01.029
CdZnS,2.7,False,none/unspecified,0,True,325.0,300.0,8.0,8137.0,3.910464315995614,j.ijhydene.2020.01.029
ZnS/PDA1,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,2162.5,3.3349561161368517,j.apcatb.2020.119423
F-CN,2.7,False,ethanol,2,False,420.0,300.0,50.0,114.5,2.0588054866759067,j.apcatb.2018.03.102
N-CN,2.7,False,ethanol,2,False,420.0,300.0,50.0,136.8,2.1360860973840974,j.apcatb.2018.03.102
Ba5Nb4O15/MoS2,2.7,False,none/unspecified,0,True,600.0,150.0,5.0,580.0,2.7634279935629373,j.jcat.2017.06.033
Ba5Nb4O15/MoS2,2.7,False,none/unspecified,0,True,600.0,150.0,5.0,40.0,1.6020599913279623,j.jcat.2017.06.033
PTh,2.7,False,TEOA,3,True,420.0,300.0,20.0,2800.0,3.4471580313422194,j.apcatb.2017.04.033
PTh,2.7,False,none/unspecified,0,True,420.0,300.0,20.0,2190.0,3.3404441148401185,j.apcatb.2017.04.033
Na2SO3-Na2S,2.7,False,none/unspecified,0,True,420.0,300.0,20.0,480.0,2.681241237375587,j.apcatb.2017.04.033
TiO2,3.2,True,none/unspecified,0,False,420.0,300.0,8.0,1300.0,3.113943352306837,j.ijhydene.2018.01.011
TiO2,3.2,True,glycerol,2,True,420.0,250.0,2.0,8800.0,3.9444826721501687,j.ijhydene.2018.01.011
C,2.7,False,methanol,2,False,420.0,450.0,8.0,81.8,1.912753303671323,j.ijhydene.2013.08.094
g-C3N4,2.7,True,other,1,False,400.0,300.0,8.0,60.0,1.7781512503836436,j.cej.2019.05.088
g H2,2.7,False,other,1,False,400.0,300.0,8.0,1160.0,3.0644579892269186,j.cej.2019.05.088
CdIn2S4/In(OH)3/Zn2GeO4,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,1426.9,3.1543935379569974,j.jphotochem.2018.04.051
Zn2GeO4,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,100.18,2.0007810273534954,j.jphotochem.2018.04.051
copper,2.7,False,TEOA,3,False,420.0,300.0,30.0,400.0,2.6020599913279625,j.apsusc.2016.05.162
Erythrosin B,2.7,False,TEOA,3,False,420.0,300.0,30.0,5000.0,3.6989700043360187,j.apsusc.2016.05.162
Cu2O,2.0,True,TEOA,3,True,420.0,300.0,5.0,220.0,2.342422680822206,j.apsusc.2016.05.162
Cu,0.0,True,TEOA,3,True,420.0,300.0,5.0,300.0,2.4771212547196626,j.apsusc.2016.05.162
ErB,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,460.0,2.662757831681574,j.apsusc.2016.05.162
g-C3N4,2.7,True,TEOA,3,True,420.0,300.0,5.0,140.0,2.146128035678238,j.apsusc.2016.05.162
Cu2 +,2.7,False,TEOA,3,True,420.0,300.0,5.0,230.0,2.361727836017593,j.apsusc.2016.05.162
Ni(OH)2,2.7,False,other,1,True,420.0,300.0,5.0,1895.99,3.2778360424132966,j.cej.2019.122342
Ni(OH)2,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,7160.0,3.8549130223078554,j.cej.2019.122342
Co2 +,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,782.0,2.893206753059848,j.cej.2019.122342
g-C3N4,2.7,True,TEOA,3,False,550.0,300.0,20.0,94.23,1.9741891911181673,j.apcatb.2017.03.005
g-C3N4,2.7,True,TEOA,3,False,550.0,300.0,20.0,626.93,2.797219052296644,j.apcatb.2017.03.005
3S6CCN,2.7,False,TEA,2,False,550.0,300.0,20.0,70.7,1.8494194137968993,j.apcatb.2017.03.005
g-C3N4,2.7,True,TEA,2,False,550.0,300.0,20.0,4.87,0.6875289612146344,j.apcatb.2017.03.005
S6C,2.7,False,other,1,False,550.0,300.0,20.0,208.47,2.319043566399113,j.apcatb.2017.03.005
g-C3N4,2.7,True,none/unspecified,0,False,460.0,300.0,8.0,116.1,2.064832219738574,j.apcatb.2017.03.005
PCN,2.7,False,methanol,2,True,420.0,300.0,6.0,36.4,1.561101383649056,j.apsusc.2020.148707
g-C3N4,2.7,True,methanol,2,True,420.0,300.0,6.0,221.3,2.344981413927258,j.apsusc.2020.148707
D-PCN,2.7,False,methanol,2,True,420.0,300.0,6.0,144.3,2.159266331093494,j.apsusc.2020.148707
MnS/PCN,2.7,False,methanol,2,True,420.0,300.0,6.0,250.0,2.3979400086720375,j.apsusc.2020.148707
D-PCN,2.7,False,methanol,2,True,420.0,300.0,6.0,670.5,2.8263987821876175,j.apsusc.2020.148707
NiPS3,2.7,False,none/unspecified,0,False,300.0,300.0,8.0,6.46,0.8102325179950841,j.nanoen.2017.09.017
HCS,2.7,False,none/unspecified,0,True,420.0,300.0,4.0,145.0,2.161368002234975,j.cej.2019.122350
HCS,2.7,False,none/unspecified,0,True,389.0,5.92,40.0,16350.000000000002,4.213517756996305,j.cej.2019.122350
carbonate,2.7,False,other,1,False,420.0,100.0,15.0,1040.0,3.0170333392987803,j.ceramint.2019.06.200
NiT-500,2.7,False,other,1,False,420.0,100.0,8.0,1042.0,3.0178677189635055,j.ceramint.2019.06.200
MMT/g-C3N4,2.7,False,TEOA,3,False,420.0,300.0,8.0,5630.0,3.7505083948513462,j.ijhydene.2018.12.167
MMT/g-C3N4,2.7,False,TEOA,3,False,420.0,300.0,8.0,12500.0,4.096910013008056,j.ijhydene.2018.12.167
NiCoP,2.7,False,none/unspecified,0,True,420.0,300.0,60.0,7690.0,3.885926339801431,j.ijhydene.2018.12.167
g-C3N4,2.7,True,none/unspecified,0,True,420.0,300.0,60.0,480.0,2.681241237375587,j.ijhydene.2018.12.167
MMT/g-C3N4,2.7,False,TEOA,3,False,420.0,300.0,8.0,9360.0,3.971275848738105,j.ijhydene.2018.12.167
NiCoP,2.7,False,TEOA,3,False,420.0,300.0,8.0,5010.0,3.699837725867246,j.ijhydene.2018.12.167
NiCoP,2.7,False,TEOA,3,False,420.0,300.0,8.0,7420.0,3.870403905279027,j.ijhydene.2018.12.167
g-C3N4/g-C3N4,2.7,False,TEOA,3,False,420.0,300.0,8.0,1330.0,3.123851640967086,j.ijhydene.2018.12.167
NiCl2,2.7,False,TEOA,3,False,420.0,300.0,8.0,10930.0,4.038620161949702,j.ijhydene.2018.12.167
CTO,2.7,False,methanol,2,False,420.0,300.0,8.0,47.0,1.6720978579357175,j.apcatb.2019.118378
CTO,2.7,False,methanol,2,False,420.0,300.0,8.0,93.0,1.968482948553935,j.apcatb.2019.118378
CTO-N-700,2.7,False,methanol,2,False,420.0,300.0,8.0,2296.0,3.3609718837259357,j.apcatb.2019.118378
CTO-N-700,2.7,False,methanol,2,False,420.0,300.0,8.0,94.0,1.9731278535996986,j.apcatb.2019.118378
Si,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,1785.0,3.251638220448212,j.ijhydene.2019.01.270
PSi,2.7,False,TEOA,3,False,420.0,300.0,8.0,604.7,2.7815399686059417,j.ijhydene.2019.01.270
RGO/ZIS,2.7,False,TEOA,3,True,260.0,3.0,8.0,2640.8,3.421735511322255,j.apcatb.2017.01.060
ZnO @ ZnS/Co3O4,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,1927.0,3.284881714655453,j.cej.2020.124681
ZnO @ ZnS,2.7,False,methanol,2,True,780.0,300.0,40.0,23.0,1.3617278360175928,j.cej.2020.124681
ZnO @ ZnS,2.7,False,methanol,2,True,780.0,300.0,40.0,97.0,1.9867717342662448,j.cej.2020.124681
ZnO @ ZnS,2.7,False,methanol,2,True,780.0,300.0,40.0,26323.0,4.420335383771662,j.cej.2020.124681
Co3O4/ZnO–10,2.7,False,methanol,2,True,780.0,300.0,40.0,224.0,2.3502480183341627,j.cej.2020.124681
Ru-CoP-1:8,2.7,False,TEOA,3,True,430.0,300.0,5.0,696.1,2.8426716337607885,j.jcis.2020.11.066
Ru-CoP,2.7,False,TEOA,3,True,430.0,300.0,5.0,556.5,2.745465168670727,j.jcis.2020.11.066
Ru-CoP,2.7,False,TEOA,3,True,430.0,300.0,5.0,2.18,0.33845649360460484,j.jcis.2020.11.066
Ru-CoP,2.7,False,TEOA,3,True,430.0,300.0,5.0,30.68,1.4868553552769432,j.jcis.2020.11.066
Pt,0.0,True,TEOA,3,True,430.0,300.0,5.0,1450.6,3.1615476731257273,j.jcis.2020.11.066
Pt,0.0,True,TEOA,3,True,430.0,300.0,5.0,1172.5,3.069112851387121,j.jcis.2020.11.066
g-C3N4,2.7,True,TEOA,3,True,430.0,300.0,5.0,266.8,2.426185825244511,j.jcis.2020.11.066
Ru-CoP,2.7,False,TEOA,3,True,430.0,300.0,5.0,250.5,2.3988077302032647,j.jcis.2020.11.066
Ru/GCN,2.7,False,TEOA,3,True,430.0,300.0,5.0,266.4,2.4255342204982635,j.jcis.2020.11.066
Ru-CoP-1:8,2.7,False,TEOA,3,True,430.0,300.0,5.0,245.5,2.3900514964589874,j.jcis.2020.11.066
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,8.0,43.5,1.6384892569546374,j.apcata.2016.06.036
HNO3,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,520.0,2.716003343634799,j.apcata.2016.06.036
CdS,2.4,True,Na2S/Na2SO3,3,True,800.0,350.0,5.0,78.2,1.893206753059848,j.apcata.2016.06.036
CdS,2.4,True,Na2S/Na2SO3,3,True,800.0,350.0,180.0,338.0,2.5289167002776547,j.apcata.2016.06.036
CdS,2.4,True,Na2S/Na2SO3,3,True,800.0,350.0,5.0,298.5,2.4749443354653877,j.apcata.2016.06.036
MoS2,1.8,True,Na2S/Na2SO3,3,True,800.0,350.0,180.0,676.0,2.829946695941636,j.apcata.2016.06.036
CdS/MoS2,2.7,False,Na2S/Na2SO3,3,True,800.0,350.0,180.0,114.5,2.0588054866759067,j.apcata.2016.06.036
SrTiO3,3.2,True,none/unspecified,0,False,420.0,300.0,8.0,494.0,2.693726948923647,j.fuel.2017.02.016
NaTaO3,4.0,True,none/unspecified,0,False,420.0,300.0,8.0,5672.0,3.75373622217501,j.fuel.2017.02.016
La0.02Na0.98TaO3,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,235.0,2.3710678622717363,j.ijhydene.2020.05.068
La0.02Na0.98TaO3,2.7,False,glycerol,2,False,320.0,500.0,45.0,0.54,-0.26760624017703144,j.ijhydene.2020.05.068
CdS,2.4,True,none/unspecified,0,True,420.0,300.0,8.0,37920.0,4.5788683286660286,j.ijhydene.2020.08.252
CdS,2.4,True,none/unspecified,0,True,534.0,300.0,16.0,280.0,2.4471580313422194,j.ijhydene.2020.08.252
CdS,2.4,True,none/unspecified,0,True,534.0,300.0,16.0,210.0,2.322219294733919,j.ijhydene.2020.08.252
CdS,2.4,True,none/unspecified,0,True,534.0,300.0,16.0,230.0,2.361727836017593,j.ijhydene.2020.08.252
CdS,2.4,True,none/unspecified,0,True,534.0,300.0,16.0,180.0,2.255272505103306,j.ijhydene.2020.08.252
Ni-P,2.7,False,none/unspecified,0,True,420.0,350.0,8.0,1506.0,3.177824971864682,S1872-2067(19)63343-7
Ni-P,2.7,False,none/unspecified,0,True,420.0,350.0,8.0,237.0,2.374748346010104,S1872-2067(19)63343-7
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,20.0,250.0,2.3979400086720375,j.nantod.2021.101080
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,20.0,24170.0,4.383276650407651,j.nantod.2021.101080
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,20.0,5220.0,3.717670503002262,j.nantod.2021.101080
Ni,0.0,True,none/unspecified,0,True,420.0,300.0,8.0,40601.0,4.608536730353882,j.cej.2020.124774
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,8.0,7266.0,3.861295393526696,j.cej.2020.124774
CdS,2.4,True,none/unspecified,0,True,420.0,300.0,8.0,25000.0,4.3979400086720375,j.cej.2020.124774
CdS/NiS,2.7,False,TEOA,3,True,400.0,300.0,8.0,6731.0,3.828079590556746,j.cej.2020.124774
CdS,2.4,True,TEOA,3,True,400.0,300.0,8.0,2706.0,3.4323277922616042,j.cej.2020.124774
CdS @ NiS,2.7,False,TEOA,3,True,400.0,300.0,8.0,72633.0,4.861133982431236,j.cej.2020.124774
Pt,0.0,True,methanol,2,True,420.0,300.0,8.0,716.0,2.8549130223078554,j.cattod.2016.09.018
g-C3N4,2.7,True,none/unspecified,0,True,400.0,300.0,8.0,1540.0,3.187520720836463,j.jcis.2020.06.023
g-C3N4,2.7,True,none/unspecified,0,True,400.0,300.0,8.0,80.0,1.9030899869919435,j.jcis.2020.06.023
g-C3N4,2.7,True,none/unspecified,0,True,400.0,300.0,5.0,600.0,2.7781512503836434,j.jcis.2020.06.023
TiO2,3.2,True,methanol,2,False,420.0,500.0,8.0,76.1,1.8813846567705728,j.ijhydene.2014.02.173
TiO2,3.2,True,methanol,2,False,420.0,500.0,8.0,270.0,2.4313637641589874,j.ijhydene.2014.02.173
TiO2,3.2,True,methanol,2,False,420.0,500.0,8.0,996.8,2.9986080293150943,j.ijhydene.2014.02.173
[P2W15V3O62]6−,2.7,False,TEOA,3,False,420.0,300.0,8.0,883.0,2.9459607035775686,j.apcatb.2017.10.031
DMF,2.7,False,other,1,False,420.0,300.0,8.0,25578.0,4.407866583030776,j.apcatb.2017.10.031
