material,bandgap_eV,bandgap_known,sacrificial_agent,scavenger_strength,has_cocatalyst,wavelength_nm,light_power_W,irradiation_time_h,activity_value,logH2,source_paper
CuMgAl,2.7,False,methanol,2,False,570.0,300.0,5.0,279.2,2.4459154139511234,j.clay.2015.06.023
Bi2MNbO7,2.7,False,other,1,True,420.0,400.0,10.0,8000.0,3.9030899869919438,S1381-1169(00)00545-8
Bi2MNbO7,2.7,False,other,1,True,420.0,400.0,10.0,1500.0,3.1760912590556813,S1381-1169(00)00545-8
PHA-Mo2C,2.7,False,other,1,False,420.0,300.0,8.0,12560.0,4.098989639401177,j.nanoen.2020.105056
TiO2,3.2,True,other,1,False,420.0,300.0,8.0,6108.0,3.7858990283843834,j.apcatb.2017.11.069
CdS,2.4,True,none/unspecified,0,False,400.0,300.0,8.0,5294.4,3.7238167498157777,j.apsusc.2021.149758
TiO2,3.2,True,methanol,2,False,420.0,50.0,10.0,810.0,2.90848501887865,j.apsusc.2013.11.105
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,5.0,52.08,1.7166709755601355,j.seppur.2020.118258
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,5.0,366.72,2.5643345959512773,j.seppur.2020.118258
ZIS,2.7,False,TEOA,3,False,420.0,300.0,30.0,1858.6,3.2691859328139516,j.jallcom.2021.159850
ReS2,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,1404.0,3.1473671077937864,j.jallcom.2021.159850
ZIS,2.7,False,TEOA,3,False,420.0,300.0,30.0,673.4,2.8282731120520697,j.jallcom.2021.159850
ZnO/SrTiO3,2.7,False,TEOA,3,False,420.0,300.0,30.0,16006.12,4.204286068533353,j.ijhydene.2021.03.051
A4B4C1D3E2,2.7,False,TEOA,3,False,420.0,300.0,30.0,11930.67,4.076664833371297,j.ijhydene.2021.03.051
ZnO,3.3,True,other,1,False,420.0,300.0,30.0,501.9,2.700617195682057,j.ijhydene.2021.03.051
Pt,0.0,True,TEOA,3,False,549.0,300.0,8.0,68330.0,4.834611420722688,j.jcat.2019.06.024
2P-MoS2 @ WO3,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,50.1,1.6998377258672457,j.jallcom.2021.159637
2P-MoS2 @ WO3,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,37.7,1.5763413502057928,j.jallcom.2021.159637
WO3,2.7,True,none/unspecified,0,True,420.0,300.0,8.0,34.1,1.5327543789924978,j.jallcom.2021.159637
WO3,2.7,True,none/unspecified,0,True,420.0,300.0,8.0,46.6,1.6683859166900001,j.jallcom.2021.159637
WO3,2.7,True,none/unspecified,0,True,420.0,300.0,8.0,62.8,1.797959643737196,j.jallcom.2021.159637
P-MoS2 @ WO3,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,73.8,1.8680563618230415,j.jallcom.2021.159637
P-MoS2 @ WO3,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,88.4,1.9464522650130731,j.jallcom.2021.159637
P-MoS2 @ WO3,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,66.2,1.8208579894397,j.jallcom.2021.159637
P-MoS2 @ WO3,2.7,False,none/unspecified,0,True,420.0,300.0,8.0,32.4,1.510545010206612,j.jallcom.2021.159637
WCS,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,542.4,2.734319680859007,j.jallcom.2021.159691
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,3.0,37.1,1.5693739096150459,j.ijhydene.2021.02.153
TiO2,3.2,True,none/unspecified,0,False,420.0,300.0,3.0,158.7,2.2005769267548483,j.ijhydene.2021.02.153
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,3.0,78.9,1.8970770032094204,j.ijhydene.2021.02.153
CdS-g-C3N4,2.7,False,TEOA,3,False,420.0,300.0,4.0,86.38,1.9364131997114797,j.envres.2021.111136
CdS @ ZnIn2S4,2.7,False,other,1,False,400.0,300.0,12.0,540.3,2.732634967539196,j.apcatb.2021.120213
CdS @ ZnIn2S4,2.7,False,other,1,False,400.0,300.0,12.0,604.8,2.78161178249315,j.apcatb.2021.120213
ZnS,3.6,True,none/unspecified,0,True,420.0,300.0,8.0,1.08,0.03342375548694973,j.apcatb.2020.119250
Ni(OH)2-Pt/C3N4,2.7,False,none/unspecified,0,True,420.0,300.0,3.0,175.2,2.243534101832062,j.apcatb.2018.10.051
Ni(OH)2-Pt/C3N4,2.7,False,none/unspecified,0,True,420.0,300.0,3.0,85.3,1.930949031167523,j.apcatb.2018.10.051
Ni(OH),2.7,False,other,1,True,420.0,300.0,3.0,425.7,2.6291036501771363,j.apcatb.2018.10.051
Pt,0.0,True,other,1,True,420.0,300.0,3.0,201.2,2.30362797638389,j.apcatb.2018.10.051
Co-MnO2 @ CdS/CoS-3,2.7,False,none/unspecified,0,True,420.0,300.0,4.0,112200.0,5.049992856920142,S1872-2067(20)63706-8
Cu/TiO2 @ Ti3C2Tx,2.7,False,methanol,2,False,365.0,300.0,12.0,860.0,2.934498451243568,j.cej.2021.129695
PtO @ Ti3C2/TiO2,2.7,False,Na2S/Na2SO3,3,False,365.0,300.0,-12.0,2540.0,3.404833716619938,j.cej.2021.129695
graphene,0.0,True,none/unspecified,0,False,420.0,300.0,8.0,358200.0,5.554125581513013,j.nanoen.2015.07.008
acetic,2.7,False,other,1,False,420.0,300.0,8.0,2800.0,3.4471580313422194,j.cattod.2016.02.010
