material,n,median_rate,p25,p75,bandgap_eV,bandgap_known
CoO,6,940.0,80.025,2345.0,2.7,False
Zn,6,251.65,223.3,325.67499999999995,2.7,False
BQ,6,3775.0,1735.0,7097.500000000001,2.7,False
MOF-5,6,4780.0,1100.0,7980.0,2.7,False
Mn0.25Cd0.75S,6,8640.0,4810.0,14397.5,2.7,False
Zn/Cd,6,551.0,149.75,1187.75,2.7,False
Si,6,2669.5,1785.0,3929.75,2.7,False
Fe2O3,5,350.0,37.06,392.0,2.1,True
TiO2 @ MoS2,5,200.0,171.24,1000.0,2.7,False
Fe,5,493.0,361.4,493.0,2.7,False
Ti-Cu 1.0,5,2565.0,2118.0,2957.6,2.7,False
CO,5,843.0,248.0,1523.7,2.7,False
CNTS,5,1342.0,900.0,1420.0,2.7,False
IPA,5,795.0,459.94,983.0,2.7,False
NiOx,5,709.1,284.32,900.0,2.7,False
Ti3C2,5,326.6,204.0,330.0,2.7,False
U6N,5,540.68,122.21,20500.0,2.7,False
CuFe2O4,5,1720.0,900.0,1720.0,2.7,False
catechol–TiO2,5,3995.0,3082.0,6148.0,2.7,False
cobalt,5,240.0,15.4,725.0,2.7,False
ethylene glycol,5,20300.0,16900.0,26400.0,2.7,False
Pt/ZnIn2S4,5,257.0,224.6,1532.0,2.7,False
Cu2ZnSnS4,5,1600.0,1200.0,1600.0,2.7,False
N-TiO2,5,3400.0,2100.0,4740.0,2.7,False
hydrogen,5,410.0,330.0,760.0,2.7,False
indium,5,363.0,189.0,1735.0,2.7,False
CoSx,5,573.06,145.87,838.0,2.7,False
NBT-BNT,5,235.05,142.72,449.1,2.7,False
SCN,5,313.2,248.0,658.5,2.7,False
thiophene,5,104.0,63.0,175.0,2.7,False
LaNiO3,5,819.2,42.0,1200.0,2.7,False
MAPbI3,5,584.0,37.0,1471.0,2.7,False
NaNbO3,5,241.0,241.0,302.1,2.7,False
Rh–Cu/TiO2,5,7132.0,1940.0,8600.0,2.7,False
phenol,5,124.0,1.9,146.0,2.7,False
Na2S/Na2SO3,5,7700.0,970.92,25900.0,2.7,False
"1,4 - diaminopantane",5,13.14,12.02,16.49,2.7,False
ReS2,5,3060.0,1404.0,24357.0,2.7,False
CdS/ZnS/In2S3,5,2580.0,1550.0,3500.0,2.7,False
ZnO/ZnS,5,450.0,388.4,1200.0,2.7,False
Mn0.3Cd0.7S,5,20240.0,13580.0,58840.0,2.7,False
ZnGa2O4,5,39.0,38.94,142.0,2.7,False
Ni2P/g-C3N4,5,1317.6,570.0,2849.5,2.7,False
g-C3N4/Pt,5,637.0,613.1,937.0,2.7,False
