material,n,median_rate,p25,p75,bandgap_eV,bandgap_known
N - hydroxyphthalimide,2,360.9,194.45,527.3499999999999,2.7,False
CuS–CN,2,85.44999999999999,48.575,122.32499999999999,2.7,False
N,2,335.0,267.5,402.5,2.7,False
MgZrO3,2,2678.0,2388.0,2968.0,2.7,False
CuS–MoS2–2H,2,1552.1499999999999,1083.375,2020.9249999999997,2.7,False
CuWO4-x,2,4967.5,2526.25,7408.75,2.7,False
K0.5La0.5TiO3,2,1607.5849999999998,829.2775,2385.8925,2.7,False
D-PCN,2,407.4,275.85,538.95,2.7,False
MoS3/Au,2,8850.0,8475.0,9225.0,2.7,False
K-BiOI,2,5445.0,2777.5,8112.5,2.7,False
MoS2−X @ CdS,2,4662.0,2525.0,6799.0,2.7,False
MnxCd1−xS,2,10900.0,10900.0,10900.0,2.7,False
K,2,570.5,525.25,615.75,2.7,False
InTaO4,2,15.06,7.630000000000001,22.490000000000002,2.7,False
EtOH:H2O,2,28050.0,26175.0,29925.0,2.7,False
F8T2,2,315.75,253.82500000000002,377.675,2.7,False
InC3N4-2,2,8900.0,4500.0,13300.0,2.7,False
Mn0.8Cd0.2S,2,2600.0,1900.0,3300.0,2.7,False
In(OH)3,2,1535.0,1087.5,1982.5,2.7,False
Fe2BiSbO7,2,110.418,102.559,118.277,2.7,False
Mn3O4/g-C3N4-5,2,1977.0,1315.5,2638.5,2.7,False
MoS2/ZnO,2,1668.0,1410.0,1926.0,2.7,False
MnIS,2,129.55,93.925,165.175,2.7,False
MnS/In2S3,2,4262.0,2213.0,6311.0,2.7,False
H–Pd–TiO2-SEP,2,15000.0,10000.0,20000.0,2.7,False
MoS2–CdS,2,2120.5,1105.75,3135.25,2.7,False
TiOxNy,2,703.0,604.5,801.5,2.7,False
TiOxNy/TiN,2,34.95,34.925,34.975,2.7,False
TpPa-1,2,3540.0,3040.0,4040.0,2.7,False
U0.30M0.02Z,2,18419.0,18231.5,18606.5,2.7,False
UiO-66,2,4113.0,2906.5,5319.5,2.7,False
UiO-66-NH2,2,1550.0,945.0,2155.0,2.7,False
UiO-67-Ce,2,136.275,69.61250000000001,202.9375,2.7,False
W18O49/CeO2,2,198.85,195.225,202.475,2.7,False
WO3/TiO2,2,502.795,263.6925,741.8975,2.7,False
WZ,2,31370.0,16355.0,46385.0,2.7,False
ZAO,2,3110.0,2345.0,3875.0,2.7,False
ZCS-2,2,44750.0,37125.0,52375.0,2.7,False
Cr(VI),2,285.9,257.05,314.75,2.7,False
ZCS/CN,2,4638.5,4500.75,4776.25,2.7,False
ZCd0.1,2,2383.5,1991.75,2775.25,2.7,False
ZF2,2,2415.0,2282.5,2547.5,2.7,False
ZIS-0,2,415.5,294.25,536.75,2.7,False
ZT,2,349349.0,175023.5,523674.5,2.7,False
"Zn(O, S)",2,6630.0,5865.0,7395.0,2.7,False
Zn(OH)2/Cd0.3Zn0.7S,2,6050.0,4625.0,7475.0,2.7,False
Zn0.4Cd0.6S,2,3610.0,3605.0,3615.0,2.7,False
Zn0.5Cd0.5S @ MoS2,2,25500.0,22600.0,28400.0,2.7,False
Zn0.5Cd0.5S-P,2,704.5,663.75,745.25,2.7,False
Zn0.8Cd0.2S,2,433.195,422.6625,443.72749999999996,2.7,False
Zn3P2,2,6440.0,3585.0,9295.0,2.7,False
ZCS-30,2,242.49,236.29,248.69,2.7,False
TZnP,2,37.0,26.0,48.0,2.7,False
Ti0.996Nb0.002Rh0.002O2,2,513.5,275.25,751.75,2.7,False
Ti4 +,2,49.95,38.775,61.125,2.7,False
TiBiI,2,173.8,147.0,200.6,2.7,False
TiNR,2,4745.0,2427.5,7062.5,2.7,False
TiNS,2,4990.0,3010.0,6970.0,2.7,False
TiO2 (,2,1607.57,820.285,2394.855,2.7,False
TiO2 @ Ti3C2Tx,2,512.5,338.75,686.25,2.7,False
TiO2 @ ZIF-8,2,168.14999999999998,121.375,214.92499999999998,2.7,False
TiO2-1,2,3950.6,1985.9,5915.3,2.7,False
TiO2-500/Pt,2,260.71000000000004,205.48000000000002,315.94,2.7,False
TiO2-Au-CdS,2,1830.0,1605.0,2055.0,2.7,False
TiOF2,2,145.5,111.75,179.25,2.7,False
TiO2-MoS2,2,468.35,253.77499999999998,682.925,2.7,False
TiO2-P25,2,220.14999999999998,186.625,253.67499999999998,2.7,False
TiO2/Au,2,27.0,22.849999999999998,31.15,2.7,False
TiO2/CdS,2,1315.0,987.5,1642.5,2.7,False
TiO2/CuO/Cu,2,851.3,851.3,851.3,2.7,False
TiO2/KTiNbO5,2,142.5,104.25,180.75,2.7,False
TiO2/SiO2,2,90.695,79.4825,101.9075,2.7,False
TiO2/SiO2/g-C3N4,2,484.05,439.775,528.325,2.7,False
TiO2/Ti,2,213.29999999999998,127.5,299.09999999999997,2.7,False
TiO2/Ti3C2,2,408.2,220.8,595.6,2.7,False
TiO2/Ti3C2Tx,2,1158.9,588.3499999999999,1729.45,2.7,False
TiO2NTs @ Au,2,5250.0,4275.0,6225.0,2.7,False
TiO2–1,2,2370.85,1246.275,3495.425,2.7,False
TiO2-CdS,2,996.6,589.9,1403.3,2.7,False
graphene @ Au,2,57.65,53.675,61.625,2.7,False
graphene/Bi(NO3)3,2,76.5,47.25,105.75,2.7,False
iodine,2,290.71,238.465,342.955,2.7,False
iron−nickel sulfide,2,1148.0,1146.0,1150.0,2.7,False
metal sulphide,2,16198.5,8387.75,24009.25,2.7,False
methyl alcohol,2,1443.0,1187.5,1698.5,2.7,False
molybdenum,2,1008.15,807.075,1209.225,2.7,False
mpg-C3N4,2,3252.9,1886.95,4618.85,2.7,False
mpg-CN,2,130.5,118.25,142.75,2.7,False
nano-Ni/CdS,2,6366.5,5024.75,7708.25,2.7,False
oxide,2,853.29,447.435,1259.145,2.7,False
oxides,2,424.5,405.25,443.75,2.7,False
ZnCr–CdS,2,1269.0,821.5,1716.5,2.7,False
superoxide,2,640.9,385.0,896.8000000000001,2.7,False
⋅OH,2,0.07694999999999999,0.056425,0.09747499999999999,2.7,False
(CuIn)0.2Zn1.6S2,2,867.0,808.5,925.5,2.7,False
(NH4)2SO3,2,25824.0,25812.0,25836.0,2.7,False
"-1,2,3-triol",2,42000.0,27500.0,56500.0,2.7,False
-1T '-MoS2/g-C3N4,2,1599.5,825.25,2373.75,2.7,False
0.2RuO2/Sm2InTaO7,2,126.5,117.25,135.75,2.7,False
0.4-SBO/P25,2,1635.0,862.5,2407.5,2.7,False
0.5Rh/NTSG,2,3107.0,2232.5,3981.5,2.7,False
1,2,657.0,649.0,665.0,2.7,False
1 - n - butyl - 3 - methylimidazolium chloride,2,1519.3999999999999,1004.5,2034.2999999999997,2.7,False
1.0-CaSnO3,2,128.1,106.65,149.55,2.7,False
sulfite,2,993.0,614.5,1371.5,2.7,False
ZnIn1.5S3.25,2,1105.0,732.5,1477.5,2.7,False
ZnIn2S4-Au-TiO2,2,126.30000000000001,96.3,156.3,2.7,False
ZnIn2S4/MoS2,2,131.6,99.1,164.1,2.7,False
ZnO @ Bi4O5I2/ZnS,2,552.45,539.475,565.425,2.7,False
ZnO-ZnS,2,390.3,291.65,488.95000000000005,2.7,False
ZnO/NiO/Cd0.8Zn0.2S,2,12050.0,9575.0,14525.0,2.7,False
ZnONR,2,654.75,512.125,797.375,2.7,False
ZnPc/TiO2,2,1098.5,1074.75,1122.25,2.7,False
ZnPc/TiO2/Pt,2,3388.0,3358.0,3418.0,2.7,False
ZnS-P,2,212.4,109.1,315.7,2.7,False
ZnS-g-C3N4/TiO2,2,257.0,174.5,339.5,2.7,False
ZnS/ZnO,2,11720.0,8665.0,14775.0,2.7,False
g-C3N4–PPy–FeP,2,1285.0500000000002,659.675,1910.4250000000002,2.7,False
ZnS–VZn,2,23328.5,11677.75,34979.25,2.7,False
ZnTCPP–MoS2/ZnO,2,71.0,69.0,73.0,2.7,False
ZnTCPP–ZnO,2,31.5,19.75,43.25,2.7,False
Zn–AgIn5S8,2,297.15,272.525,321.775,2.7,False
acetic acid,2,8112.5,4806.25,11418.75,2.7,False
alcohol,2,153250.0,86875.0,219625.0,2.7,False
barbituric acid,2,244.5,180.45000000000002,308.55,2.7,False
borosilicate,2,58550.0,35325.0,81775.0,2.7,False
cLaP1,2,1653.5,1480.25,1826.75,2.7,False
carbon–carbon,2,4540.0,4330.0,4750.0,2.7,False
g-C3N4-MoS2,2,1798.7,998.05,2599.35,2.7,False
g-C3N4/MgFe2O4-150,2,300.45,300.225,300.67499999999995,2.7,False
g-C3N4–MoS2–Ni,2,971.1,496.65,1445.55,2.7,False
ZnS/ZnO/ZnS,2,1046650.0,529975.0,1563325.0,2.7,False
NiSe/CdS,2,6690.0,4305.0,9075.0,2.7,False
NixCo1-xO @ C/CdS,2,28300.0,14450.0,42150.0,2.7,False
NixN,2,149550.0,143975.0,155125.0,2.7,False
Ni–CdS,2,12588.0,11982.0,13194.0,2.7,False
O-MoS2,2,43060.0,42165.0,43955.0,2.7,False
O-MoS2/Mn0.5Cd0.5S,2,74815.0,70062.5,79567.5,2.7,False
OVs,2,8665.0,7587.5,9742.5,2.7,False
P-25,2,255.5,208.25,302.75,2.7,False
P-C3N4,2,339.02,170.53,507.51,2.7,False
P25/Pt,2,3282.0,1716.0,4848.0,2.7,False
PGA25,2,233.5,202.25,264.75,2.7,False
PPB-8,2,1534.65,774.4749999999999,2294.825,2.7,False
TV15,2,356.85,274.575,439.125,2.7,False
PTO-300,2,87.0,70.0,104.0,2.7,False
PTh,2,2495.0,2342.5,2647.5,2.7,False
Pd-Ti-MCM-48,2,665.5,612.75,718.25,2.7,False
Pd-TiO2/ZSM-5,2,958.0,874.5,1041.5,2.7,False
Pd7P3/CdS,2,212966.0,208663.5,217268.5,2.7,False
PdTAPP–TFPT,2,383.0,239.0,527.0,2.7,False
Pt @ PdTAPP–TFPT,2,1500.0,1350.0,1650.0,2.7,False
Pt @ U6N,2,12573.0,10689.5,14456.5,2.7,False
Pt · Ni(OH)2/C3N4,2,981.0,806.5,1155.5,2.7,False
Pt(0.5 wt %),2,2974.55,2509.825,3439.275,2.7,False
Pt(1 wt %),2,46.08,45.26,46.9,2.7,False
Pt-(PPy-TiO2),2,64150.0,33675.0,94625.0,2.7,False
PPN,2,375.84999999999997,263.625,488.07499999999993,2.7,False
NYTiO2-Pt-3.0,2,10560.0,5400.0,15720.0,2.7,False
Na2Ta2O6,2,85.5,84.75,86.25,2.7,False
Na2Ti6O13,2,123.0,78.0,168.0,2.7,False
NaTaO3 · La,2,6.5,5.75,7.25,2.7,False
Nb6,2,5875.0,5017.5,6732.5,2.7,False
Nd2O3/LaNaTaO3,2,97.5685,48.85275,146.28425,2.7,False
Ni(OH)2-CT,2,7593.0,7096.5,8089.5,2.7,False
Ni(OH)2-Pt/C3N4,2,130.25,107.77499999999999,152.725,2.7,False
Ni(OH)2/CdS,2,33485.0,30137.5,36832.5,2.7,False
Ni/TNW,2,200.0,140.0,260.0,2.7,False
Ni/TiO2,2,16545.5,8618.25,24472.75,2.7,False
Ni0.7-ZIS,2,2651.6,1347.4,3955.8,2.7,False
NiS/g-C3N4,2,8255.5,4183.25,12327.75,2.7,False
Ni2P/Ni2 +–Mn0.3Cd0.7S-10,2,4889.0,2523.5,7254.5,2.7,False
Ni2P2O7/g-C3N4,2,124.0,82.5,165.5,2.7,False
Ni2P–CdS,2,68470.0,68470.0,68470.0,2.7,False
Ni3C,2,3021.35,2876.975,3165.725,2.7,False
Ni3S2,2,2325.215,1209.9425,3440.4875,2.7,False
Ni5P4,2,2980.3,2068.9,3891.7000000000003,2.7,False
NiCo2O4,2,5569.0,2863.5,8274.5,2.7,False
NiCoP/g-C3N4,2,3048.0,1991.0,4105.0,2.7,False
NiFe2O4-ZnO,2,410.5,395.25,425.75,2.7,False
NiL3-CN,2,26.405,15.807500000000001,37.0025,2.7,False
NiNb9,2,601.5,409.25,793.75,2.7,False
NiO/ZCS-3,2,18400.0,17250.0,19550.0,2.7,False
NiPS3,2,1303.23,654.845,1951.615,2.7,False
Ni1/CdS,2,478400.0,402550.0,554250.0,2.7,False
SH-500,2,15.044999999999998,12.9125,17.1775,2.7,False
SMCN,2,2005.0,1422.5,2587.5,2.7,False
SNO,2,3934.0,1997.0,5871.0,2.7,False
SSR,2,45.849999999999994,36.625,55.074999999999996,2.7,False
SZ4,2,130.0,116.5,143.5,2.7,False
Si7BC8,2,94.7,87.85,101.55000000000001,2.7,False
SiO2,2,456.6,248.39999999999998,664.8,2.7,False
SiO2 @ TiO2,2,525.0,394.5,655.5,2.7,False
Sm2FeTaO7,2,43.0,33.5,52.5,2.7,False
SnS2/g-C3N4-180,2,633.0,485.5,780.5,2.7,False
SnSe/g-C3N4,2,84.55,84.425,84.675,2.7,False
Sr0 · 76Ce0 · 16WO4,2,18.8,12.5,25.099999999999998,2.7,False
Pt-N-TiO2,2,491.65000000000003,392.625,590.6750000000001,2.7,False
SrSnO3,2,197.8,178.9,216.7,2.7,False
SrTiO3-0.8 % RGO,2,204685.0,125132.5,284237.5,2.7,False
T-CN,2,189.15,156.075,222.22500000000002,2.7,False
TBAP,2,352.5,349.75,355.25,2.7,False
TC3,2,91.495,77.8775,105.11250000000001,2.7,False
TCN-31,2,45.68000000000001,31.695,59.665000000000006,2.7,False
TCP,2,4822.5,2493.75,7151.25,2.7,False
TH-215-,2,1080.0,680.0,1480.0,2.7,False
THS550,2,8999.36,4549.04,13449.68,2.7,False
TNS,2,2150.0,1125.0,3175.0,2.7,False
TNTs,2,3790.0,1942.0,5638.0,2.7,False
TNZIS-50,2,148.3,115.0,181.60000000000002,2.7,False
TOH-CN0.7,2,1035.4,959.7,1111.1,2.7,False
Sr0 · 76Ce0 · 16WO4-1.5Au,2,37.1,32.9,41.3,2.7,False
Pt-NTC-3,2,1435.0,736.5,2133.5,2.7,False
Pt-PPy,2,870.5,605.75,1135.25,2.7,False
Pt/CdS/NYFYE,2,3.96,3.67,4.25,2.7,False
Pt/Ce-TTCA,2,34.949999999999996,22.275,47.625,2.7,False
Pt/In2O3,2,678.84,648.835,708.845,2.7,False
Pt/La0.02Na0.98TaO3,2,118.08,102.12,134.04,2.7,False
Pt/Mn0.5Cd0.5S,2,26150.0,25185.0,27115.0,2.7,False
Pt/N-TiO2/STO–TNT,2,133.8,110.4,157.2,2.7,False
Pt/NTC11,2,398.0,352.0,444.0,2.7,False
Pt/RGO,2,715.0,652.5,777.5,2.7,False
Pt/g-C3N4-8.7,2,22575.0,22537.5,22612.5,2.7,False
Pt3Ni/CdS,2,35900.0,33850.0,37950.0,2.7,False
S2−/SO32−,2,5551.5,3867.25,7235.75,2.7,False
PtO,2,430.0,305.0,555.0,2.7,False
Pt©CdS,2,33590.0,26680.0,40500.0,2.7,False
Pt–Ni3/CdS,2,48900.0,48870.0,48930.0,2.7,False
Pt–ZnS/CdS,2,14350.0,11025.0,17675.0,2.7,False
PyDM,2,11445.0,7702.5,15187.5,2.7,False
P–N–TiO2-I,2,8.35,6.925,9.774999999999999,2.7,False
RGO/ZnO @ Zn0.6Zn0.4S,2,1012.5,586.25,1438.75,2.7,False
Rhodamine,2,255.0,138.5,371.5,2.7,False
Ru-CoP-1:8,2,470.8,358.15,583.45,2.7,False
RuO2/TiSi2,2,84.7,78.30000000000001,91.1,2.7,False
S-ACN,2,4895.4,2680.15,7110.65,2.7,False
S2,2,1787.05,1787.025,1787.0749999999998,2.7,False
S2−,2,750.5,465.25,1035.75,2.7,False
PtNiCo/CdS,2,44790.0,42410.0,47170.0,2.7,False
Cl-CN,2,12750.0,9725.0,15775.0,2.7,False
Bi2O3,2,600.55,300.82500000000005,900.275,2.8,True
COF,2,4125.0,2598.5,5651.5,2.7,False
Bi2MNbO7,2,4750.0,3125.0,6375.0,2.7,False
COOH,2,255.35000000000002,164.225,346.475,2.7,False
CeO2/CeVO4/V2O5,2,5775.35,2913.0249999999996,8637.675,2.7,False
CeO2/CdS-DETA,2,12910.0,12740.0,13080.0,2.7,False
CP-1/TiO2,2,6850.0,5675.0,8025.0,2.7,False
CdZnSSe8,2,368.4,355.05,381.75,2.7,False
CdZnS,2,10838.0,9487.5,12188.5,2.7,False
CS0,2,193.0,123.5,262.5,2.7,False
CoAl,2,356.52,194.715,518.325,2.7,False
CTO,2,70.0,58.5,81.5,2.7,False
APD510,2,3798.5,3737.75,3859.25,2.7,False
CTO-N-700,2,1195.0,644.5,1745.5,2.7,False
BaTiO3-CdS,2,482.96000000000004,482.94,482.98,2.7,False
CTS,2,675.0,462.5,887.5,2.7,False
CdS–NiO,2,50.35,30.634999999999998,70.065,2.7,False
CdS–H2Ti4O9,2,488.5,285.25,691.75,2.7,False
Ba5Nb4O15/MoS2,2,310.0,175.0,445.0,2.7,False
CdSe/O,2,1076.04,896.135,1255.945,2.7,False
CdSe @ Zn1-XCdXS,2,522500.0,308250.0,736750.0,2.7,False
Ag(1.5 %)–ZnIn1.5S3.2575,2,2440.0,2060.0,2820.0,2.7,False
CdTe,2,13881.62,7172.429999999999,20590.81,1.5,True
C-TiO2,2,1.35,1.275,1.425,2.7,False
2.7-CaSnO3,2,138.85000000000002,118.125,159.57500000000002,2.7,False
Co3O4/Cd0.9Zn0.1S-2,2,84230.0,56455.0,112005.0,2.7,False
C-KNbO3,2,73.1,38.650000000000006,107.55,2.7,False
25NAT,2,2900.0,2650.0,3150.0,2.7,False
2P-MoS2 @ WO3,2,43.900000000000006,40.800000000000004,47.0,2.7,False
C @ SiCNTs,2,61.9,33.6,90.2,2.7,False
CN-P,2,1330.5,1244.25,1416.75,2.7,False
BiVO4,2,28.85,20.475,37.225,2.4,True
BiTaO4,2,67.55,66.32499999999999,68.775,2.7,False
Co3 +,2,61.91,58.745,65.07499999999999,2.7,False
Bi2Se3-100,2,109.5,98.75,120.25,2.7,False
3DBC-C3N4-R,2,8850.0,7975.0,9725.0,2.7,False
3DG-3,2,367.5,206.25,528.75,2.7,False
Co0.5Cd0.5S,2,4720.0,3925.0,5515.0,2.7,False
Bi3TiNbO9,2,308.9,292.05,325.75,2.7,False
3In/BiOI,2,217.4,191.55,243.25,2.7,False
3P-B,2,356.85,241.725,471.975,2.7,False
CN/TiO2-24,2,387.0,324.0,450.0,2.7,False
Bi2WO6,2,943.75,804.125,1083.375,2.7,True
CNA,2,6425.0,6227.5,6622.5,2.7,False
CNM,2,5134.0,3619.5,6648.5,2.7,False
Co(OH)2/CdS,2,14430.0,14430.0,14430.0,2.7,False
BiOCl-(0 1 0),2,4.18,2.19,6.17,2.7,False
Al92Ti7.9Ag0.1,2,1106.5,734.75,1478.25,2.7,False
BCN/CNNS,2,709.75,383.67500000000007,1035.825,2.7,False
CdS/Co-MoS2,2,219500.0,191750.0,247250.0,2.7,False
BCN-TiO2,2,42.92,30.110000000000003,55.730000000000004,2.7,False
BBD,2,7419.139999999999,3955.395,10882.884999999998,2.7,False
CdS/CPC-2,2,5007.0,4918.0,5096.0,2.7,False
Au @ TiO2,2,2480.125,1260.1875,3700.0625,2.7,False
B-ZIS,2,1261.0,1030.0,1492.0,2.7,False
B-TiO2,2,415.0,372.5,457.5,2.7,False
B-P25,2,1950.0,1165.0,2735.0,2.7,False
Au @ TiO2-1,2,42115.0,39637.5,44592.5,2.7,False
CdS:Pt,2,33368.5,22923.25,43813.75,2.7,False
CdS/Ag2S,2,6835.0,6632.5,7037.5,2.7,False
B-CN-T,2,222.5,213.75,231.25,2.7,False
CdS-P,2,655.7,355.85,955.5500000000001,2.7,False
AuPd/g-C3N4,2,326.0,326.0,326.0,2.7,False
CdS-H,2,21654.0,21654.0,21654.0,2.7,False
Au35 @ CdS5,2,12175.0,6262.5,18087.5,2.7,False
CdS @ ZnIn2S4,2,572.55,556.425,588.675,2.7,False
Au/NiFe2O4,2,116.5,107.25,125.75,2.7,False
CdS @ g-C3N4,2,6068.0,5312.0,6824.0,2.7,False
Au/P25,2,14075.0,7162.5,20987.5,2.7,False
Au/TiNs,2,595.0,537.5,652.5,2.7,False
CdS @ CdSe,2,2800.0,2450.0,3150.0,2.7,False
BZO-C,2,36.295,20.4525,52.1375,2.7,False
CZS-P,2,15500.0,12000.0,19000.0,2.7,False
CdS:MoS2,2,21754.0,17997.0,25511.0,2.7,False
CZZ,2,30715.0,20347.5,41082.5,2.7,False
BTS,2,271.1,206.1,336.1,2.7,False
CaIn2S4,2,66.46000000000001,48.69,84.23,2.7,False
Cadmium selenide,2,2430.0,2040.0,2820.0,2.7,False
CdS/rGO,2,527365.5,266048.25,788682.75,2.7,False
CdS/g-C3N4,2,4152.0,4152.0,4152.0,2.7,False
CdS/ZnO,2,16060.0,13030.0,19090.0,2.7,False
Cadmium sulphide,2,8500.0,6950.0,10050.0,2.7,False
AgNO3,2,39.45,37.575,41.325,2.7,False
Cd(7 %)-SnO2 /(CdS)0.3,2,257.5,241.25,273.75,2.7,False
BTO,2,311.6,166.39999999999998,456.8,2.7,False
CdS/WO3−x-10,2,1240.0,1010.0,1470.0,2.7,False
Ag/g-C3N4,2,95.0,63.5,126.5,2.7,False
Ag0.5Au1/TiO2,2,669.0,567.5,770.5,2.7,False
Cd0.4Zn0.6S,2,108.0,57.0,159.0,2.7,False
Ag2NCN @ g-C3N4-1,2,414.02,368.185,459.855,2.7,False
Cd0.5Zn0.5Se-,2,8752.0,6814.5,10689.5,2.7,False
Cd0.62Zn0.16S,2,9148.65,5562.975,12734.325,2.7,False
Cd0.6Zn0.4S,2,24080.0,14790.0,33370.0,2.7,False
CdS/NiS,2,15550.5,11140.75,19960.25,2.7,False
CdS/Mo/CN,2,246.385,222.4175,270.35249999999996,2.7,False
Cd,2,291.5,249.75,333.25,2.7,False
CF40,2,1601.0,1281.5,1920.5,2.7,False
CoP/CDs,2,352.5,295.75,409.25,2.7,False
CIPS,2,73.0,59.5,86.5,2.7,False
C/TiO,2,5.88,3.825,7.9350000000000005,2.7,False
phosphorus,2,346.15,183.075,509.22499999999997,2.7,False
C60/β-Fe2O3,2,993.4,657.6,1329.2,2.7,False
CGS-2,2,1695.1,1683.05,1707.15,2.7,False
rhodium,2,8016.0,7388.0,8644.0,2.7,False
rGO/TpPa-1-COF,2,8390.0,6595.0,10185.0,2.7,False
CI0.01–C–S,2,300.25,212.22500000000002,388.275,2.7,False
CCN15,2,423.485,246.9775,599.9925000000001,2.7,False
CN @ TiO2,2,9465.0,9147.5,9782.5,2.7,False
CoFe2O4 @ ZnS,2,1275.0,1087.5,1462.5,2.7,False
CoS,2,738.5,509.25,967.75,2.7,False
Cof,2,9.0,6.75,11.25,2.7,False
CF0,2,658.0,447.0,869.0,2.7,False
1.0Pt/1.0La-ZnIn2S4,2,771.5,671.75,871.25,2.7,False
C6N9H3,2,21.560000000000002,19.68,23.44,2.7,False
potassium niobate,2,16.85,16.425,17.275,2.7,False
sodium tantalate,2,35000.0,22500.0,47500.0,2.7,False
CoNb9,2,136.5,97.75,175.25,2.7,False
pyridyl,2,214.0,116.0,312.0,2.7,False
t-KNbO3,2,225.4,171.7,279.1,2.7,False
BP,1,512.0,512.0,512.0,2.7,False
Pt–CNS,1,49.0,49.0,49.0,2.7,False
BP-Au/LTO,1,300.0,300.0,300.0,2.7,False
TiO2-Ag,1,892.0,892.0,892.0,2.7,False
BPQDs,1,65.0,65.0,65.0,2.7,False
TiO2-50,1,30.1,30.1,30.1,2.7,False
TiO2-48,1,1230.0,1230.0,1230.0,2.7,False
TiO2-300,1,25.25,25.25,25.25,2.7,False
BPQDs/g-C3N4,1,271.0,271.0,271.0,2.7,False
TiO2-,1,1671.0,1671.0,1671.0,2.7,False
TiO2(N–TiO2,1,28.0,28.0,28.0,2.7,False
TiO2-C,1,7294.0,7294.0,7294.0,2.7,False
TiO2/C-400-3,1,51.0,51.0,51.0,2.7,False
TiO2/BiI3,1,219.2,219.2,219.2,2.7,False
BO,1,329.0,329.0,329.0,2.7,False
TiO2/Ag2NCN,1,1494.0,1494.0,1494.0,2.7,False
TiO2/5RGO/LFO,1,893.0,893.0,893.0,2.7,False
TiO2-g-C3N4,1,23143.0,23143.0,23143.0,2.7,False
TiO2-TpPa-1-COF,1,11190.0,11190.0,11190.0,2.7,False
TiO2-RGO,1,740.0,740.0,740.0,2.7,False
TiO2-Pt,1,4710.0,4710.0,4710.0,2.7,False
BO-C3N4,1,9751.0,9751.0,9751.0,2.7,False
TiO2(S)-600,1,3181.0,3181.0,3181.0,2.7,False
TiO2-NiO,1,23500.0,23500.0,23500.0,2.7,False
BO-C3N4-0,1,3952.0,3952.0,3952.0,2.7,False
BOBI,1,1.2,1.2,1.2,2.7,False
PtSA-CN620,1,174500.0,174500.0,174500.0,2.7,False
TiO2-HF6,1,1354.0,1354.0,1354.0,2.7,False
TiO2-Cu,1,3911.0,3911.0,3911.0,2.7,False
C60:g-C3N4,1,169.0,169.0,169.0,2.7,False
BOC,1,3.9,3.9,3.9,2.7,False
Pt–Au/C3N4,1,285.0,285.0,285.0,2.7,False
Pt–Au–MoS2,1,53.8,53.8,53.8,2.7,False
PtSA,1,3020.0,3020.0,3020.0,2.7,False
TiCuC800,1,1360.0,1360.0,1360.0,2.7,False
C3N4/Zn0.2Cd0.8S-DETA,1,6690.0,6690.0,6690.0,2.7,False
BTPF,1,3720.0,3720.0,3720.0,2.7,False
Ti8O8,1,588.0,588.0,588.0,2.7,False
P–COF-1,1,1105.0,1105.0,1105.0,2.7,False
Ti6,1,267.78,267.78,267.78,2.7,False
C3N4/CaIn2S4,1,102.0,102.0,102.0,2.7,False
R6TNR,1,622.0,622.0,622.0,2.7,False
Ti3C2–TiO2-500/Pt,1,1596.35,1596.35,1596.35,2.7,False
Ti3C2–TiO2-500,1,783.11,783.11,783.11,2.7,False
BN/CdS,1,461.0,461.0,461.0,2.7,False
Ti3C2Tx/UiO-66-NH2,1,1980.0,1980.0,1980.0,2.7,False
Ti3C2Tx,1,2700.0,2700.0,2700.0,2.7,False
Ti3C2/TiO2/g-C3N4,1,1620.0,1620.0,1620.0,2.7,False
Ti3C2/Cd0.5Zn0.5S,1,14070.0,14070.0,14070.0,2.7,False
"Ti3C2(O, OH)x",1,1585.7,1585.7,1585.7,2.7,False
Ti3C2 @ TiO2 @ MoS2,1,6425.297,6425.297,6425.297,2.7,False
Ti3C2 @ TiO2,1,898.128,898.128,898.128,2.7,False
BZ20BO,1,2243.0,2243.0,2243.0,2.7,False
RCN,1,609.9,609.9,609.9,2.7,False
RGO-Cd0.50Zn0.40Mo0.10S(C,1,957.0,957.0,957.0,2.7,False
RCF0,1,196.0,196.0,196.0,2.7,False
BS-CN,1,12330.0,12330.0,12330.0,2.7,False
TiO2(001),1,16300.0,16300.0,16300.0,2.7,False
TiO2 P90,1,1500.0,1500.0,1500.0,2.7,False
Pt–Ta2O5,1,31.3,31.3,31.3,2.7,False
TiO2 P25,1,1660.9,1660.9,1660.9,2.7,False
TiO2 Degussa P-25,1,160.0,160.0,160.0,2.7,False
BT,1,655.0,655.0,655.0,2.7,False
BT-2,1,26020.0,26020.0,26020.0,2.7,False
BT-3,1,1.01,1.01,1.01,2.7,False
BTNO,1,90.1,90.1,90.1,2.7,False
TiM @ ZIS,1,1970.0,1970.0,1970.0,2.7,False
BTNO-M800,1,93.7,93.7,93.7,2.7,False
TiNs,1,80.0,80.0,80.0,2.7,False
BTNT2,1,2345.0,2345.0,2345.0,2.7,False
TiN/In2O3,1,839.0,839.0,839.0,2.7,False
TiN-10-CdS,1,2060.0,2060.0,2060.0,2.7,False
BTO-C,1,98.5,98.5,98.5,2.7,False
Pt–Zn0.8Cd0.2S,1,1824.0,1824.0,1824.0,2.7,False
TiM/CdS,1,2367.0,2367.0,2367.0,2.7,False
TiM @ ZIS/CdS,1,2367.0,2367.0,2367.0,2.7,False
Pt–ZnCdS,1,1626.0,1626.0,1626.0,2.7,False
